Cont.Núm -  ordem termino, ordem termino,,,,,,,,,,
filho,1,2,3,4,5,6,7,8,9,10,Total Resultado
1,22,14,12,14,15,10,14,17,19,13,150
2,22,12,16,14,19,16,18,13,13,7,150
3,10,19,18,9,16,14,16,16,15,17,150
4,11,20,12,15,14,16,10,19,19,14,150
5,15,15,20,18,16,13,16,10,14,13,150
6,13,16,12,18,18,18,14,12,12,17,150
7,11,11,14,13,14,21,16,15,16,19,150
8,14,11,22,18,13,14,15,12,13,18,150
9,21,22,12,11,15,13,15,17,12,12,150
10,11,10,12,20,10,15,16,19,17,20,150
Total Resultado,150,150,150,150,150,150,150,150,150,150,1500
